municipality,year,cobertura_de_agua_potable
NUEVA IMPERIAL,2015,58.78
PADRE LAS CASAS,2015,62.85
PERQUENCO,2015,50.28
PITRUFQUÉN,2015,66.49
PUCÓN,2015,69.44
SAAVEDRA,2015,31.62
TEODORO SCHMIDT,2015,41.87
TOLTÉN,2015,50.08
VILCÚN,2015,54.3
VILLARRICA,2015,69.69
CHOLCHOL,2015,34.36
ANGOL,2015,90.29
COLLIPULLI,2015,76.02
CURACAUTÍN,2015,80.38
ERCILLA,2015,56.24
LONQUIMAY,2015,43.2
LOS SAUCES,2015,56.68
LUMACO,2015,40.81
PURÉN,2015,73.56
RENAICO,2015,80.08
TRAIGUÉN,2015,75.99
VICTORIA,2015,78.64
TEMUCO,2014,94.86
CARAHUE,2014,52.33
CUNCO,2014,55.44
CURARREHUE,2014,37.22
FREIRE,2014,43.31
GALVARINO,2014,31.46
GORBEA,2014,66.18
LAUTARO,2014,67.89
LONCOCHE,2014,67.38
MELIPEUCO,2014,49.19
NUEVA IMPERIAL,2014,58.78
PADRE LAS CASAS,2014,62.85
PERQUENCO,2014,50.28
PITRUFQUÉN,2014,66.49
PUCÓN,2014,69.44
SAAVEDRA,2014,31.62
TEODORO SCHMIDT,2014,41.87
TOLTÉN,2014,50.08
VILCÚN,2014,54.3
VILLARRICA,2014,69.69
CHOLCHOL,2014,34.36
ANGOL,2014,90.29
COLLIPULLI,2014,76.02
CURACAUTÍN,2014,80.38
ERCILLA,2014,56.24
LONQUIMAY,2014,43.2
LOS SAUCES,2014,56.68
LUMACO,2014,40.81
PURÉN,2014,73.56
RENAICO,2014,80.08
TRAIGUÉN,2014,75.99
VICTORIA,2014,78.64
TEMUCO,2013,94.86
CARAHUE,2013,52.33
CUNCO,2013,55.44
CURARREHUE,2013,37.22
FREIRE,2013,43.31
GALVARINO,2013,31.46
GORBEA,2013,66.18
LAUTARO,2013,67.89
LONCOCHE,2013,67.38
MELIPEUCO,2013,49.19
NUEVA IMPERIAL,2013,58.78
PADRE LAS CASAS,2013,62.85
PERQUENCO,2013,50.28
PITRUFQUÉN,2013,66.49
PUCÓN,2013,69.44
SAAVEDRA,2013,31.62
TEODORO SCHMIDT,2013,41.87
TOLTÉN,2013,50.08
VILCÚN,2013,54.3
VILLARRICA,2013,69.69
CHOLCHOL,2013,34.36
ANGOL,2013,90.29
COLLIPULLI,2013,76.02
CURACAUTÍN,2013,80.38
ERCILLA,2013,56.24
LONQUIMAY,2013,43.2
LOS SAUCES,2013,56.68
LUMACO,2013,40.81
PURÉN,2013,73.56
RENAICO,2013,80.08
TRAIGUÉN,2013,75.99
VICTORIA,2013,78.64
TEMUCO,2011,94.86
CARAHUE,2011,52.33
CUNCO,2011,55.44
CURARREHUE,2011,37.22
FREIRE,2011,43.31
GALVARINO,2011,31.46
GORBEA,2011,66.18
LAUTARO,2011,67.89
LONCOCHE,2011,67.38
MELIPEUCO,2011,49.19
NUEVA IMPERIAL,2011,58.78
PADRE LAS CASAS,2011,62.85
PERQUENCO,2011,50.28
PITRUFQUÉN,2011,66.49
PUCÓN,2011,69.44
SAAVEDRA,2011,31.62
TEODORO SCHMIDT,2011,41.87
TOLTÉN,2011,50.08
VILCÚN,2011,54.3
VILLARRICA,2011,69.69
CHOLCHOL,2011,34.36
ANGOL,2011,90.29
COLLIPULLI,2011,76.02
CURACAUTÍN,2011,80.38
ERCILLA,2011,56.24
LONQUIMAY,2011,43.2
LOS SAUCES,2011,56.68
LUMACO,2011,40.81
PURÉN,2011,73.56
RENAICO,2011,80.08
TRAIGUÉN,2011,75.99
VICTORIA,2011,78.64
TEMUCO,2010,94.86
CARAHUE,2010,52.33
CUNCO,2010,55.44
CURARREHUE,2010,37.22
FREIRE,2010,43.31
GALVARINO,2010,31.46
GORBEA,2010,66.18
LAUTARO,2010,67.89
LONCOCHE,2010,67.38
MELIPEUCO,2010,49.19
NUEVA IMPERIAL,2010,58.78
PADRE LAS CASAS,2010,62.85
PERQUENCO,2010,50.28
PITRUFQUÉN,2010,66.49
PUCÓN,2010,69.44
SAAVEDRA,2010,31.62
TEODORO SCHMIDT,2010,41.87
TOLTÉN,2010,50.08
VILCÚN,2010,54.3
VILLARRICA,2010,69.69
CHOLCHOL,2010,34.36
ANGOL,2010,90.29
COLLIPULLI,2010,76.02
CURACAUTÍN,2010,80.38
ERCILLA,2010,56.24
LONQUIMAY,2010,43.2
LOS SAUCES,2010,56.68
LUMACO,2010,40.81
PURÉN,2010,73.56
RENAICO,2010,80.08
TRAIGUÉN,2010,75.99
VICTORIA,2010,78.64
TEMUCO,2009,94.86
CARAHUE,2009,52.33
CUNCO,2009,55.44
CURARREHUE,2009,37.22
FREIRE,2009,43.31
GALVARINO,2009,31.46
GORBEA,2009,66.18
LAUTARO,2009,67.89
LONCOCHE,2009,67.38
MELIPEUCO,2009,49.19
NUEVA IMPERIAL,2009,58.78
PADRE LAS CASAS,2009,62.85
PERQUENCO,2009,50.28
PITRUFQUÉN,2009,66.49
PUCÓN,2009,69.44
SAAVEDRA,2009,31.62
TEODORO SCHMIDT,2009,41.87
TOLTÉN,2009,50.08
VILCÚN,2009,54.3
VILLARRICA,2009,69.69
CHOLCHOL,2009,34.36
ANGOL,2009,90.29
COLLIPULLI,2009,76.02
CURACAUTÍN,2009,80.38
ERCILLA,2009,56.24
LONQUIMAY,2009,43.2
LOS SAUCES,2009,56.68
LUMACO,2009,40.81
PURÉN,2009,73.56
RENAICO,2009,80.08
TRAIGUÉN,2009,75.99
VICTORIA,2009,78.64
TEMUCO,2008,89.2
CARAHUE,2008,47.76
CUNCO,2008,46.68
CURARREHUE,2008,32.78
FREIRE,2008,38.16
GALVARINO,2008,29.67
GORBEA,2008,57.94
LAUTARO,2008,60.18
LONCOCHE,2008,60.4
MELIPEUCO,2008,39.38
NUEVA IMPERIAL,2008,53.98
PADRE LAS CASAS,2008,59.28
PERQUENCO,2008,44.82
PITRUFQUÉN,2008,60.49
PUCÓN,2008,41.13
SAAVEDRA,2008,27.09
TEODORO SCHMIDT,2008,37.45
TOLTÉN,2008,43.51
VILCÚN,2008,47.46
VILLARRICA,2008,49.46
CHOLCHOL,2008,31.58
ANGOL,2008,84.74
COLLIPULLI,2008,68.44
CURACAUTÍN,2008,64.74
ERCILLA,2008,52.61
LONQUIMAY,2008,35.03
LOS SAUCES,2008,50.74
LUMACO,2008,36.5
PURÉN,2008,65.2
RENAICO,2008,74.91
TRAIGUÉN,2008,69.62
VICTORIA,2008,68.28
TEMUCO,2007,89.2
CARAHUE,2007,47.76
CUNCO,2007,46.68
CURARREHUE,2007,32.78
FREIRE,2007,38.16
GALVARINO,2007,29.67
GORBEA,2007,57.94
LAUTARO,2007,60.18
LONCOCHE,2007,60.4
MELIPEUCO,2007,39.38
NUEVA IMPERIAL,2007,53.98
PADRE LAS CASAS,2007,59.28
PERQUENCO,2007,44.82
PITRUFQUÉN,2007,60.49
PUCÓN,2007,41.13
SAAVEDRA,2007,27.09
TEODORO SCHMIDT,2007,37.45
TOLTÉN,2007,43.51
VILCÚN,2007,47.46
VILLARRICA,2007,49.46
CHOLCHOL,2007,31.58
ANGOL,2007,84.74
COLLIPULLI,2007,68.44
CURACAUTÍN,2007,64.74
ERCILLA,2007,52.61
LONQUIMAY,2007,35.03
LOS SAUCES,2007,50.74
LUMACO,2007,36.5
PURÉN,2007,65.2
RENAICO,2007,74.91
TRAIGUÉN,2007,69.62
VICTORIA,2007,68.28
TEMUCO,2006,89.2
CARAHUE,2006,47.76
CUNCO,2006,46.68
CURARREHUE,2006,32.78
FREIRE,2006,38.16
GALVARINO,2006,29.67
GORBEA,2006,57.94
LAUTARO,2006,60.18
LONCOCHE,2006,60.4
MELIPEUCO,2006,39.38
NUEVA IMPERIAL,2006,53.98
PADRE LAS CASAS,2006,59.28
PERQUENCO,2006,44.82
PITRUFQUÉN,2006,60.49
PUCÓN,2006,41.13
SAAVEDRA,2006,27.09
TEODORO SCHMIDT,2006,37.45
TOLTÉN,2006,43.51
VILCÚN,2006,47.46
VILLARRICA,2006,49.46
CHOLCHOL,2006,31.58
ANGOL,2006,84.74
COLLIPULLI,2006,68.44
CURACAUTÍN,2006,64.74
ERCILLA,2006,52.61
LONQUIMAY,2006,35.03
LOS SAUCES,2006,50.74
LUMACO,2006,36.5
PURÉN,2006,65.2
RENAICO,2006,74.91
TRAIGUÉN,2006,69.62
VICTORIA,2006,68.28
TEMUCO,2005,89.2
CARAHUE,2005,47.76
CUNCO,2005,46.68
CURARREHUE,2005,32.78
FREIRE,2005,38.16
GALVARINO,2005,29.67
GORBEA,2005,57.94
LAUTARO,2005,60.18
LONCOCHE,2005,60.4
MELIPEUCO,2005,39.38
NUEVA IMPERIAL,2005,53.98
PADRE LAS CASAS,2005,59.28
PERQUENCO,2005,44.82
PITRUFQUÉN,2005,60.49
PUCÓN,2005,41.13
SAAVEDRA,2005,27.09
TEODORO SCHMIDT,2005,37.45
TOLTÉN,2005,43.51
VILCÚN,2005,47.46
VILLARRICA,2005,49.46
CHOLCHOL,2005,31.58
ANGOL,2005,84.74
COLLIPULLI,2005,68.44
CURACAUTÍN,2005,64.74
ERCILLA,2005,52.61
LONQUIMAY,2005,35.03
LOS SAUCES,2005,50.74
LUMACO,2005,36.5
PURÉN,2005,65.2
RENAICO,2005,74.91
TRAIGUÉN,2005,69.62
VICTORIA,2005,68.28
TEMUCO,2004,89.2
CARAHUE,2004,47.76
CUNCO,2004,46.68
CURARREHUE,2004,32.78
FREIRE,2004,38.16
GALVARINO,2004,29.67
GORBEA,2004,57.94
LAUTARO,2004,60.18
LONCOCHE,2004,60.4
MELIPEUCO,2004,39.38
NUEVA IMPERIAL,2004,53.98
PADRE LAS CASAS,2004,59.28
PERQUENCO,2004,44.82
PITRUFQUÉN,2004,60.49
PUCÓN,2004,41.13
SAAVEDRA,2004,27.09
TEODORO SCHMIDT,2004,37.45
TOLTÉN,2004,43.51
VILCÚN,2004,47.46
VILLARRICA,2004,49.46
CHOLCHOL,2004,31.58
ANGOL,2004,84.74
COLLIPULLI,2004,68.44
CURACAUTÍN,2004,64.74
ERCILLA,2004,52.61
LONQUIMAY,2004,35.03
LOS SAUCES,2004,50.74
LUMACO,2004,36.5
PURÉN,2004,65.2
RENAICO,2004,74.91
TRAIGUÉN,2004,69.62
VICTORIA,2004,68.28
TEMUCO,2003,89.2
CARAHUE,2003,47.76
CUNCO,2003,46.68
CURARREHUE,2003,32.78
FREIRE,2003,38.16
GALVARINO,2003,29.67
GORBEA,2003,57.94
LAUTARO,2003,60.18
LONCOCHE,2003,60.4
MELIPEUCO,2003,39.38
NUEVA IMPERIAL,2003,53.98
PADRE LAS CASAS,2003,59.28
PERQUENCO,2003,44.82
PITRUFQUÉN,2003,60.49
PUCÓN,2003,41.13
SAAVEDRA,2003,27.09
TEODORO SCHMIDT,2003,37.45
TOLTÉN,2003,43.51
VILCÚN,2003,47.46
VILLARRICA,2003,49.46
CHOLCHOL,2003,NA
ANGOL,2003,84.74
COLLIPULLI,2003,68.44
CURACAUTÍN,2003,64.74
ERCILLA,2003,52.61
LONQUIMAY,2003,35.03
LOS SAUCES,2003,50.74
LUMACO,2003,36.5
PURÉN,2003,65.2
RENAICO,2003,NA
TRAIGUÉN,2003,69.62
VICTORIA,2003,68.28
TEMUCO,2002,89.2
CARAHUE,2002,47.76
CUNCO,2002,46.68
CURARREHUE,2002,32.78
FREIRE,2002,38.16
GALVARINO,2002,29.67
GORBEA,2002,57.94
LAUTARO,2002,60.18
LONCOCHE,2002,60.4
MELIPEUCO,2002,39.38
NUEVA IMPERIAL,2002,53.98
PADRE LAS CASAS,2002,59.28
PERQUENCO,2002,44.82
PITRUFQUÉN,2002,60.49
PUCÓN,2002,41.13
SAAVEDRA,2002,27.09
TEODORO SCHMIDT,2002,37.45
TOLTÉN,2002,43.51
VILCÚN,2002,47.46
VILLARRICA,2002,49.46
CHOLCHOL,2002,NA
ANGOL,2002,84.74
COLLIPULLI,2002,68.44
CURACAUTÍN,2002,64.74
ERCILLA,2002,52.61
LONQUIMAY,2002,35.03
LOS SAUCES,2002,50.74
LUMACO,2002,36.5
PURÉN,2002,65.2
RENAICO,2002,74.91
TRAIGUÉN,2002,69.62
VICTORIA,2002,68.28
TEMUCO,2001,94.86
CARAHUE,2001,52.33
CUNCO,2001,55.44
CURARREHUE,2001,37.22
FREIRE,2001,43.31
GALVARINO,2001,31.46
GORBEA,2001,66.18
LAUTARO,2001,67.89
LONCOCHE,2001,67.38
MELIPEUCO,2001,49.19
NUEVA IMPERIAL,2001,52.82
PADRE LAS CASAS,2001,62.85
PERQUENCO,2001,50.28
PITRUFQUÉN,2001,66.49
PUCÓN,2001,69.44
SAAVEDRA,2001,31.62
TEODORO SCHMIDT,2001,41.87
TOLTÉN,2001,50.08
VILCÚN,2001,54.3
VILLARRICA,2001,69.69
CHOLCHOL,2001,NA
ANGOL,2001,90.29
COLLIPULLI,2001,76.02
CURACAUTÍN,2001,80.38
ERCILLA,2001,56.24
LONQUIMAY,2001,43.2
LOS SAUCES,2001,56.68
LUMACO,2001,40.81
PURÉN,2001,73.56
RENAICO,2001,80.08
TRAIGUÉN,2001,75.99
VICTORIA,2001,78.64
