comuna,year,desertores_anterior,matricula,tasa_incidencia,percent_incidencia,,
COCHRANE,2015,30,633,4.7%,,,
O'HIGGINS,2015,1,82,1.2%,,,
TORTEL,2015,0,76,0.0%,,,
CHILE CHICO,2015,41,839,4.9%,,,
RIO IBA�EZ,2015,8,310,2.6%,,,
PUNTA ARENAS,2015,476,21,440,2.2%,,
LAGUNA BLANCA,2015,0,35,0.0%,,,
RIO VERDE,2015,0,5,0.0%,,,
SAN GREGORIO,2015,0,34,0.0%,,,
CABO DE HORNOS,2015,18,388,4.6%,,,
ANTARTICA,2015,0,6,0.0%,,,
PORVENIR,2015,27,938,2.9%,,,
PRIMAVERA,2015,0,57,0.0%,,,
TIMAUKEL,2015,0,10,0.0%,,,
NATALES,2015,86,3,560,2.4%,,
TORRES DEL PAINE,2015,0,33,0.0%,,,
SANTIAGO,2015,2,872,76,372,3.8%,
CERRILLOS,2015,329,11,170,2.9%,,
CERRO NAVIA,2015,549,13,911,3.9%,,
CONCHALI,2015,530,16,544,3.2%,,
EL BOSQUE,2015,801,30,463,2.6%,,
ESTACION CENTRAL,2015,660,19,536,3.4%,,
HUECHURABA,2015,328,11,583,2.8%,,
INDEPENDENCIA,2015,826,16,629,5.0%,,
LA CISTERNA,2015,1,109,25,706,4.3%,
LA FLORIDA,2015,1,771,67,95,2.6%,
LA GRANJA,2015,433,15,918,2.7%,,
LA PINTANA,2015,1,20,30,409,3.4%,
LA REINA,2015,376,18,568,2.0%,,
LAS CONDES,2015,987,35,630,2.8%,,
LO BARNECHEA,2015,463,18,801,2.5%,,
LO ESPEJO,2015,318,9,279,3.4%,,
LO PRADO,2015,304,9,672,3.1%,,
MACUL,2015,417,12,678,3.3%,,
MAIPU,2015,2,462,87,123,2.8%,
ÑUÑOA,2015,1,393,35,437,3.9%,
PEDRO AGUIRRE CERDA,2015,334,12,184,2.7%,,
PE�ALOLEN,2015,880,31,519,2.8%,,
PROVIDENCIA,2015,659,27,759,2.4%,,
PUDAHUEL,2015,813,28,57,2.9%,,
QUILICURA,2015,938,35,522,2.6%,,
QUINTA NORMAL,2015,863,21,481,4.0%,,
RECOLETA,2015,1,115,27,107,4.1%,
RENCA,2015,749,21,89,3.6%,,
SAN JOAQUIN,2015,375,8,371,4.5%,,
SAN MIGUEL,2015,852,22,58,3.9%,,
SAN RAMON,2015,507,12,811,4.0%,,
VITACURA,2015,300,17,944,1.7%,,
PUENTE ALTO,2015,2,541,90,158,2.8%,
PIRQUE,2015,108,2,765,3.9%,,
SAN JOSE DE MAIPO,2015,79,2,296,3.4%,,
COLINA,2015,866,27,161,3.2%,,
LAMPA,2015,486,13,694,3.5%,,
TILTIL,2015,93,2,800,3.3%,,
SAN BERNARDO,2015,1,330,49,192,2.7%,
BUIN,2015,494,16,274,3.0%,,
CALERA DE TANGO,2015,137,4,313,3.2%,,
PAINE,2015,278,11,892,2.3%,,
MELIPILLA,2015,649,22,339,2.9%,,
ALHUE,2015,26,876,3.0%,,,
CURACAVI,2015,131,5,183,2.5%,,
MARIA PINTO,2015,46,1,532,3.0%,,
SAN PEDRO,2015,27,1,234,2.2%,,
TALAGANTE,2015,514,17,746,2.9%,,
EL MONTE,2015,121,4,175,2.9%,,
ISLA DE MAIPO,2015,125,5,181,2.4%,,
PADRE HURTADO,2015,268,9,923,2.7%,,
PE�AFLOR,2015,440,13,678,3.2%,,
VALDIVIA,2015,689,26,131,2.6%,,
CORRAL,2015,26,796,3.3%,,,
LANCO,2015,92,3,128,2.9%,,
LOS LAGOS,2015,92,3,359,2.7%,,
MAFIL,2015,33,1,179,2.8%,,
MARIQUINA,2015,90,3,998,2.3%,,
PAILLACO,2015,130,3,561,3.7%,,
PANGUIPULLI,2015,112,6,666,1.7%,,
LA UNION,2015,185,7,394,2.5%,,
FUTRONO,2015,108,3,34,3.6%,,
LAGO RANCO,2015,38,1,542,2.5%,,
RIO BUENO,2015,141,4,914,2.9%,,
ARICA,2015,1,11,40,187,2.5%,
CAMARONES,2015,13,91,14.3%,,,
PUTRE,2015,13,228,5.7%,,,
GENERAL LAGOS,2015,1,57,1.8%,,,
IQUIQUE,2013,1,106,35,310,3.1%,
ALTO HOSPICIO,2013,697,20,743,3.4%,,
POZO ALMONTE,2013,101,2,484,4.1%,,
CAMI�A,2013,9,248,3.6%,,,
COLCHANE,2013,1,134,0.7%,,,
HUARA,2013,5,417,1.2%,,,
PICA,2013,23,812,2.8%,,,
ANTOFAGASTA,2013,2,609,64,968,4.0%,
MEJILLONES,2013,58,1,778,3.3%,,
SIERRA GORDA,2013,4,157,2.5%,,,
TALTAL,2013,65,2,427,2.7%,,
CALAMA,2013,2,204,32,336,6.8%,
OLLAG�E,2013,0,28,0.0%,,,
SAN PEDRO DE ATACAMA,2013,29,1,75,2.7%,,
TOCOPILLA,2013,148,4,812,3.1%,,
MARIA ELENA,2013,17,933,1.8%,,,
COPIAPO,2013,1,175,30,21,3.9%,
CALDERA,2013,130,3,87,4.2%,,
TIERRA AMARILLA,2013,158,2,401,6.6%,,
CHA�ARAL,2013,95,2,659,3.6%,,
DIEGO DE ALMAGRO,2013,83,3,189,2.6%,,
VALLENAR,2013,272,10,395,2.6%,,
ALTO DEL CARMEN,2013,23,726,3.2%,,,
FREIRINA,2013,38,993,3.8%,,,
HUASCO,2013,73,1,611,4.5%,,
LA SERENA,2013,1,378,42,528,3.2%,
COQUIMBO,2013,1,124,33,676,3.3%,
ANDACOLLO,2013,51,1,738,2.9%,,
LA HIGUERA,2013,11,468,2.4%,,,
PAIGUANO,2013,43,695,6.2%,,,
VICU�A,2013,148,4,509,3.3%,,
ILLAPEL,2013,156,5,948,2.6%,,
CANELA,2013,22,1,238,1.8%,,
LOS VILOS,2013,106,3,415,3.1%,,
SALAMANCA,2013,130,4,625,2.8%,,
OVALLE,2013,608,21,75,2.9%,,
COMBARBALA,2013,53,2,60,2.6%,,
MONTE PATRIA,2013,155,5,153,3.0%,,
PUNITAQUI,2013,61,1,741,3.5%,,
RIO HURTADO,2013,23,676,3.4%,,,
VALPARAISO,2013,1,660,46,968,3.5%,
CASABLANCA,2013,109,4,279,2.5%,,
CONCON,2013,234,6,564,3.6%,,
JUAN FERNANDEZ,2013,6,109,5.5%,,,
PUCHUNCAVI,2013,89,2,208,4.0%,,
QUINTERO,2013,151,4,338,3.5%,,
VI�A DEL MAR,2013,1,675,50,94,3.3%,
ISLA DE PASCUA,2013,62,1,126,5.5%,,
LOS ANDES,2013,390,14,619,2.7%,,
CALLE LARGA,2013,65,2,36,3.2%,,
RINCONADA,2013,20,1,28,1.9%,,
SAN ESTEBAN,2013,54,1,425,3.8%,,
LA LIGUA,2013,141,6,93,2.3%,,
CABILDO,2013,98,3,947,2.5%,,
PAPUDO,2013,24,712,3.4%,,,
PETORCA,2013,27,1,503,1.8%,,
ZAPALLAR,2013,26,1,219,2.1%,,
QUILLOTA,2013,468,16,850,2.8%,,
CALERA,2013,289,10,278,2.8%,,
HIJUELAS,2013,95,2,347,4.0%,,
LA CRUZ,2013,50,1,484,3.4%,,
NOGALES,2013,146,3,759,3.9%,,
SAN ANTONIO,2013,469,16,136,2.9%,,
ALGARROBO,2013,85,1,982,4.3%,,
CARTAGENA,2013,160,3,224,5.0%,,
EL QUISCO,2013,43,1,505,2.9%,,
EL TABO,2013,20,661,3.0%,,,
SANTO DOMINGO,2013,36,1,782,2.0%,,
SAN FELIPE,2013,494,15,846,3.1%,,
CATEMU,2013,77,1,831,4.2%,,
LLAILLAY,2013,132,4,298,3.1%,,
PANQUEHUE,2013,26,1,86,2.4%,,
PUTAENDO,2013,61,1,940,3.1%,,
SANTA MARIA,2013,71,2,19,3.5%,,
QUILPUE,2013,1,45,28,221,3.7%,
LIMACHE,2013,328,7,383,4.4%,,
OLMUE,2013,80,2,133,3.8%,,
VILLA ALEMANA,2013,671,18,347,3.7%,,
RANCAGUA,2013,1,408,47,555,3.0%,
CODEGUA,2013,58,1,467,4.0%,,
COINCO,2013,31,892,3.5%,,,
COLTAUCO,2013,79,3,155,2.5%,,
DO�IHUE,2013,84,3,143,2.7%,,
GRANEROS,2013,200,7,48,2.8%,,
LAS CABRAS,2013,103,3,804,2.7%,,
MACHALI,2013,196,8,535,2.3%,,
MALLOA,2013,39,1,241,3.1%,,
MOSTAZAL,2013,118,3,273,3.6%,,
OLIVAR,2013,45,1,889,2.4%,,
PEUMO,2013,76,2,138,3.6%,,
PICHIDEGUA,2013,80,2,303,3.5%,,
QUINTA DE TILCOCO,2013,52,2,35,2.6%,,
RENGO,2013,366,10,848,3.4%,,
REQUINOA,2013,84,3,861,2.2%,,
SAN VICENTE,2013,224,8,831,2.5%,,
PICHILEMU,2013,70,2,358,3.0%,,
LA ESTRELLA,2013,4,236,1.7%,,,
LITUECHE,2013,33,973,3.4%,,,
MARCHIHUE,2013,45,852,5.3%,,,
NAVIDAD,2013,36,729,4.9%,,,
PAREDONES,2013,20,777,2.6%,,,
SAN FERNANDO,2013,466,16,222,2.9%,,
CHEPICA,2013,30,1,779,1.7%,,
CHIMBARONGO,2013,190,5,877,3.2%,,
LOLOL,2013,16,967,1.7%,,,
NANCAGUA,2013,66,2,599,2.5%,,
PALMILLA,2013,42,1,199,3.5%,,
PERALILLO,2013,38,1,545,2.5%,,
PLACILLA,2013,21,817,2.6%,,,
PUMANQUE,2013,2,261,0.8%,,,
SANTA CRUZ,2013,204,9,16,2.3%,,
TALCA,2013,1,296,45,913,2.8%,
CONSTITUCION,2013,366,8,898,4.1%,,
CUREPTO,2013,15,1,254,1.2%,,
EMPEDRADO,2013,17,692,2.5%,,,
MAULE,2013,84,3,533,2.4%,,
PELARCO,2013,27,970,2.8%,,,
PENCAHUE,2013,21,926,2.3%,,,
RIO CLARO,2013,24,1,418,1.7%,,
SAN CLEMENTE,2013,106,5,497,1.9%,,
SAN RAFAEL,2013,7,1,17,0.7%,,
CAUQUENES,2013,200,7,617,2.6%,,
CHANCO,2013,47,1,328,3.5%,,
PELLUHUE,2013,12,1,52,1.1%,,
CURICO,2013,666,29,67,2.3%,,
HUALA�E,2013,52,1,575,3.3%,,
LICANTEN,2013,39,1,58,3.7%,,
MOLINA,2013,234,7,280,3.2%,,
RAUCO,2013,20,1,122,1.8%,,
ROMERAL,2013,70,2,123,3.3%,,
SAGRADA FAMILIA,2013,41,2,27,2.0%,,
TENO,2013,107,4,541,2.4%,,
VICHUQUEN,2013,12,588,2.0%,,,
LINARES,2013,647,19,357,3.3%,,
COLBUN,2013,106,2,939,3.6%,,
LONGAVI,2013,144,4,63,3.5%,,
PARRAL,2013,219,7,216,3.0%,,
RETIRO,2013,144,3,334,4.3%,,
SAN JAVIER,2013,251,8,539,2.9%,,
VILLA ALEGRE,2013,84,2,76,4.0%,,
YERBAS BUENAS,2013,104,1,989,5.2%,,
CONCEPCION,2013,1,245,42,351,2.9%,
CORONEL,2013,553,19,835,2.8%,,
CHIGUAYANTE,2013,435,14,36,3.1%,,
FLORIDA,2013,53,1,543,3.4%,,
HUALQUI,2013,143,3,287,4.4%,,
LOTA,2013,261,8,855,2.9%,,
PENCO,2013,118,5,759,2.0%,,
SAN PEDRO DE LA PAZ,2013,439,20,215,2.2%,,
SANTA JUANA,2013,93,2,358,3.9%,,
TALCAHUANO,2013,699,23,638,3.0%,,
TOME,2013,167,8,965,1.9%,,
HUALPEN,2013,316,12,693,2.5%,,
LEBU,2013,192,4,995,3.8%,,
ARAUCO,2013,151,6,635,2.3%,,
CA�ETE,2013,227,7,381,3.1%,,
CONTULMO,2013,15,1,121,1.3%,,
CURANILAHUE,2013,197,6,414,3.1%,,
LOS ALAMOS,2013,128,4,103,3.1%,,
TIRUA,2013,58,1,901,3.1%,,
LOS ANGELES,2013,1,191,39,207,3.0%,
ANTUCO,2013,32,678,4.7%,,,
CABRERO,2013,153,5,42,3.0%,,
LAJA,2013,113,4,751,2.4%,,
MULCHEN,2013,189,5,122,3.7%,,
NACIMIENTO,2013,85,5,386,1.6%,,
NEGRETE,2013,63,1,548,4.1%,,
QUILACO,2013,30,416,7.2%,,,
QUILLECO,2013,59,1,409,4.2%,,
SAN ROSENDO,2013,10,439,2.3%,,,
SANTA BARBARA,2013,97,2,745,3.5%,,
TUCAPEL,2013,62,2,102,2.9%,,
YUMBEL,2013,104,3,411,3.0%,,
ALTO BIOBIO,2013,52,1,128,4.6%,,
CHILLAN,2013,805,35,982,2.2%,,
BULNES,2013,116,3,914,3.0%,,
COBQUECURA,2013,20,682,2.9%,,,
COELEMU,2013,53,2,850,1.9%,,
COIHUECO,2013,98,3,865,2.5%,,
CHILLAN VIEJO,2013,161,4,435,3.6%,,
EL CARMEN,2013,70,2,241,3.1%,,
NINHUE,2013,22,853,2.6%,,,
�IQUEN,2013,44,1,463,3.0%,,
PEMUCO,2013,26,1,347,1.9%,,
PINTO,2013,55,1,849,3.0%,,
PORTEZUELO,2013,11,781,1.4%,,,
QUILLON,2013,90,2,168,4.2%,,
QUIRIHUE,2013,27,1,840,1.5%,,
RANQUIL,2013,19,895,2.1%,,,
SAN CARLOS,2013,198,9,198,2.2%,,
SAN FABIAN,2013,26,707,3.7%,,,
SAN IGNACIO,2013,86,2,420,3.6%,,
SAN NICOLAS,2013,52,2,217,2.3%,,
TREGUACO,2013,14,731,1.9%,,,
YUNGAY,2013,100,3,225,3.1%,,
TEMUCO,2013,1,641,54,138,0.03,3.031142635
CARAHUE,2013,147,4,824,0.03,3.047263682,
CUNCO,2013,89,3,143,0.03,2.831689469,
CURARREHUE,2013,111,1,267,0.09,8.760852407,
FREIRE,2013,158,3,698,0.04,4.272579773,
GALVARINO,2013,128,2,506,0.05,5.107741421,
GORBEA,2013,85,1,836,0.05,4.62962963,
LAUTARO,2013,185,6,374,0.03,2.902416065,
LONCOCHE,2013,88,3,865,0.02,2.276843467,
MELIPEUCO,2013,15,866,0.02,1.732101617,,
NUEVA IMPERIAL,2013,276,7,23,0.04,3.929944468,
PADRE LAS CASAS,2013,282,10,585,0.03,2.664147378,
PERQUENCO,2013,83,1,461,0.06,5.681040383,
PITRUFQUEN,2013,173,5,548,0.03,3.118240807,
PUCON,2013,134,4,659,0.03,2.876153681,
SAAVEDRA,2013,128,2,231,0.06,5.737337517,
TEODORO SCHMIDT,2013,60,1,977,0.03,3.034901366,
TOLTEN,2013,49,1,790,0.03,2.737430168,
VILCUN,2013,183,5,9,0.04,3.653423837,
VILLARRICA,2013,389,11,474,0.03,3.390273662,
CHOLCHOL,2013,94,2,349,0.04,4.001702852,
ANGOL,2013,331,11,287,0.03,2.932577301,
COLLIPULLI,2013,148,4,689,0.03,3.15632331,
CURACAUTIN,2013,102,3,43,0.03,3.351955307,
ERCILLA,2013,82,1,502,0.05,5.459387483,
LONQUIMAY,2013,67,1,841,0.04,3.639326453,
LOS SAUCES,2013,70,1,297,0.05,5.397070162,
LUMACO,2013,49,1,505,0.03,3.255813953,
PUREN,2013,60,1,964,0.03,3.054989817,
RENAICO,2013,73,1,560,0.05,4.679487179,
TRAIGUEN,2013,138,3,738,0.04,3.691813804,
